matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6747082746,-20,-7,62,-1,1,-1,0,0,1,-1,-12,14,0,1
KR_6745378686,3,7,44,1,1,-1,1,0,2,-7,12,-19,0,1
KR_6752894459,3,-1,-21,-1,0,0,1,-1,-1,0,-7,0,0,1
KR_6751561526,45,2,-9,-1,0,0,-1,0,1,-4,2,0,0,1
KR_6738734309,2,7,24,1,-1,1,1,0,3,3,0,-17,0,1
KR_6735326635,9,10,53,1,1,1,1,0,5,-1,6,19,0,1
KR_6722630093,-3,5,56,1,1,1,1,0,3,-1,24,33,0,1
KR_6721366705,17,5,60,1,1,1,1,0,3,0,-2,54,0,1
KR_6738127009,27,22,100,1,1,1,1,0,8,3,10,5,0,1
KR_6733157096,15,15,64,1,1,-1,1,0,3,0,11,21,0,1
KR_6750321779,14,7,-8,1,1,1,1,0,1,-1,5,33,0,1
KR_6751632182,-76,-18,12,-1,0,0,1,1,-2,8,-71,0,0,1
KR_6745505074,-2,2,23,1,-1,-1,0,0,0,-1,4,-8,0,1
KR_6751591297,2,8,85,-1,1,1,1,0,4,2,15,-11,0,1
KR_6745774199,-8,-4,-21,-1,1,1,1,0,0,5,-30,19,0,1
KR_6747971652,3,-1,7,1,-1,1,1,0,-1,4,-10,3,0,1
KR_6745304410,62,29,10,1,0,0,1,2,7,0,28,0,0,1
KR_6751555565,1,6,63,1,1,-1,1,0,4,21,-41,8,0,1
KR_6747823658,1,-1,5,-1,1,-1,-1,0,1,-2,0,-14,0,1
KR_6750407606,-7,-7,-12,-1,0,-1,-1,0,1,-1,2,-5,0,1
KR_6744869351,2,3,-8,1,-1,1,0,0,1,2,-21,13,0,1
KR_6751028392,10,10,65,1,-1,1,1,0,1,4,9,-11,0,1
KR_6750590901,1,0,6,-1,-1,-1,0,0,-1,0,-6,-16,0,1
KR_6753363272,14,16,65,1,-1,-1,-1,0,5,1,2,16,0,1
KR_6752911802,13,12,-33,1,1,1,1,0,0,8,-10,5,0,1
KR_6740995797,7,9,51,1,1,1,1,0,5,6,-3,62,0,1
KR_6750936082,-3,-5,21,-1,-1,1,0,0,0,-9,0,11,0,1
KR_6750836294,-4,-2,-7,-1,1,-1,-1,0,-1,-12,45,29,0,1
KR_6753102044,6,5,11,1,1,-1,1,0,1,7,2,8,0,1
KR_6727741176,4,3,-27,1,-1,-1,-1,0,0,-1,-26,-28,0,1
KR_6748005438,10,7,3,-1,1,1,1,0,5,-4,0,10,0,1
KR_6736025159,13,7,19,1,1,1,1,0,1,-5,1,-20,0,1
KR_6744418053,16,11,-8,1,1,-1,1,0,3,3,25,-5,0,1
KR_6749264192,12,7,77,1,1,-1,1,0,3,7,-20,27,0,1
KR_6748157556,17,13,43,1,1,1,1,0,3,-1,11,-4,0,1
KR_6747634390,4,0,-43,-1,1,1,-1,0,-1,6,-9,28,0,1
KR_6752453213,-31,-11,16,-1,0,0,1,0,-4,0,-5,0,0,1
KR_6751480626,-3,-5,-25,-1,0,0,1,0,-1,0,-52,0,0,1
KR_6750062644,3,3,-14,-1,1,1,1,0,0,-5,-1,15,0,1
KR_6750776225,-38,-12,-36,1,0,0,-1,-1,-7,8,-102,0,0,1
KR_6751610975,11,6,27,1,1,1,-1,0,3,2,11,40,0,1
KR_6747832339,16,14,37,1,-1,1,1,0,3,3,-1,31,0,1
KR_6733684065,11,8,-23,1,-1,-1,0,0,1,-7,7,-17,0,1
KR_6750080100,21,23,81,-1,1,1,1,0,6,1,4,-8,0,1
KR_6743864336,11,6,62,1,1,-1,1,0,1,-3,-19,-39,0,1
