matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6751947430,6,1,16,-1,-1,-1,-1,0,0,1,5,-6,3,1
KR_6746174406,2,6,48,1,-1,1,1,0,1,8,25,21,5,1
KR_6746587273,8,5,23,1,1,1,1,0,0,3,44,11,6,1
KR_6748785899,33,15,12,1,-1,1,1,0,5,3,7,19,2,1
KR_6734799425,12,6,-12,-1,-1,-1,-1,0,0,2,-3,-25,1,1
KR_6746707125,7,6,10,-1,-1,1,1,0,3,2,30,13,6,1
KR_6736653147,9,6,51,1,1,-1,-1,0,5,2,-17,3,5,1
KR_6743398015,21,11,-8,1,1,1,1,0,5,-1,-8,31,3,1
KR_6716393022,28,13,71,1,1,1,1,0,2,1,-36,-11,6,1
KR_6745725998,9,4,-3,1,1,-1,-1,0,1,1,6,12,3,1
KR_6746712955,7,2,67,1,-1,1,1,0,-1,1,4,-1,4,1
KR_6732911272,-20,-6,18,1,0,0,1,0,0,0,0,0,0,1
KR_6751454345,3,5,-28,1,0,1,0,0,-2,-1,-25,12,0,1
KR_6751876153,5,1,1,-1,-1,1,1,0,1,1,-47,-8,5,1
KR_6746665837,6,7,39,-1,1,-1,1,0,1,6,-7,-12,6,1
KR_6736896832,2,4,-40,-1,1,1,0,0,2,0,17,12,6,1
KR_6745693509,8,8,3,-1,1,1,1,0,6,-1,-3,29,2,1
KR_6744060909,5,8,46,1,-1,1,1,0,2,1,8,15,1,1
KR_6744482798,6,2,-27,1,1,-1,0,0,3,5,-16,23,4,1
KR_6747373276,-3,2,-4,1,-1,1,-1,0,1,-10,14,-6,5,1
KR_6748891150,18,18,-11,1,1,1,1,0,3,0,-8,15,4,1
KR_6748047827,-1,4,-7,1,1,-1,-1,0,2,-8,9,9,5,1
KR_6744188673,6,7,77,1,1,1,1,0,1,0,5,-12,6,1
KR_6745875719,-4,-3,3,-1,1,1,1,0,0,4,5,7,2,1
KR_6744315789,17,2,-30,1,1,1,1,0,1,4,38,0,6,1
KR_6747824227,-1,0,5,1,0,0,-1,0,0,0,4,0,0,1
KR_6736483526,1,1,25,1,1,1,0,0,1,4,-9,-2,6,1
KR_6742307894,21,18,87,1,1,1,1,0,8,19,-39,35,6,1
KR_6750141294,22,11,25,-1,-1,1,1,0,2,1,-17,-3,3,1
KR_6747608766,2,1,-19,-1,1,1,1,0,2,0,-5,34,1,1
KR_6747892527,8,3,-2,1,1,-1,1,0,3,-3,12,16,3,1
KR_6750613087,31,11,56,1,-1,-1,1,0,6,3,-4,22,2,1
KR_6741935280,6,4,-24,-1,-1,1,0,0,-1,5,-4,-8,6,1
KR_6747930481,5,2,-31,-1,1,-1,0,0,0,2,-38,22,4,1
KR_6738042432,1,-1,-16,-1,-1,1,0,0,-1,3,6,-13,6,1
KR_6747665348,20,15,33,-1,1,-1,1,0,3,1,-30,-9,3,1
KR_6745358074,7,0,-7,-1,-1,1,1,0,1,6,33,-6,2,1
KR_6749342596,11,9,101,1,1,1,1,0,3,0,-1,-5,4,1
KR_6750838457,-46,-13,-15,-1,0,0,-1,0,-4,0,6,0,0,1
KR_6746656462,19,13,21,1,0,0,1,1,3,0,0,0,0,1
KR_6743860099,-4,-3,-84,1,-1,1,-1,0,-3,0,-1,7,4,1
KR_6747454892,10,16,125,1,1,1,1,0,6,-1,10,22,1,1
KR_6718456687,5,3,-58,1,1,1,1,0,0,2,7,28,3,1
KR_6742591874,58,14,16,1,0,0,1,0,3,51,-68,0,0,1
KR_6742805496,-3,0,-11,-1,1,-1,-1,0,0,-1,11,-15,4,1
KR_6750439376,26,9,0,-1,1,-1,1,0,4,6,6,11,3,1
KR_6751667822,12,7,78,1,1,1,1,0,2,13,-41,20,2,1
KR_6747148730,6,3,29,-1,1,-1,-1,0,3,-1,-39,17,2,1
KR_6739196476,11,7,47,-1,1,-1,1,0,2,2,2,2,2,1
KR_6751685237,4,6,-7,1,-1,1,1,0,3,2,-15,-11,2,1
KR_6748483924,17,4,-45,1,-1,1,0,0,0,-2,13,-19,5,1
KR_6713019441,-3,5,27,-1,-1,1,1,0,2,6,-7,23,1,1
KR_6747140657,2,1,13,-1,1,-1,1,0,2,-3,7,-33,5,1
KR_6749192424,17,13,35,-1,1,1,1,0,1,1,12,-56,4,1
KR_6724167647,2,2,3,1,-1,1,1,0,1,2,226,9,2,1
KR_6745887407,-3,-3,3,-1,0,0,1,-1,0,0,0,0,0,1
KR_6750439149,-43,-4,-11,1,0,0,1,0,-1,0,0,0,0,1
KR_6746562529,3,5,33,1,-1,1,-1,0,3,8,10,21,6,1
KR_6750309156,-21,-5,-1,-1,0,0,1,1,0,0,0,0,0,1
KR_6752112972,70,14,46,1,0,0,1,0,2,0,0,0,0,1
KR_6746546000,15,13,8,1,1,1,1,0,3,-1,-5,-19,1,1
KR_6746060604,24,12,-2,1,-1,-1,1,0,2,0,-1,-8,5,1
KR_6747114965,5,4,29,1,-1,1,1,0,-1,1,-10,0,5,1
KR_6744015921,51,15,42,-1,0,0,1,1,4,-11,71,0,0,1
KR_6745940043,22,17,58,1,1,-1,1,0,7,8,-6,2,2,1
KR_6740797417,0,0,51,1,-1,-1,1,0,4,14,-21,0,6,1
KR_6746581845,3,1,37,-1,1,1,1,0,0,2,-4,27,4,1
KR_6748875949,10,6,42,1,-1,-1,1,0,2,5,-1,-17,3,1
KR_6748852912,22,11,29,-1,1,1,1,0,4,-1,-21,20,2,1
KR_6748050985,-4,1,8,1,0,0,1,0,3,-38,32,0,0,1
KR_6751011370,1,9,14,-1,0,-1,1,0,5,-1,12,-10,0,1
KR_6742381321,9,4,9,1,1,1,1,0,1,5,-14,-6,1,1
KR_6746722868,14,17,117,1,1,1,1,0,7,-2,3,12,6,1
KR_6731730882,8,6,37,1,1,1,1,0,3,5,45,12,6,1
KR_6745978451,17,14,16,-1,0,0,1,1,3,0,0,0,0,1
KR_6748128411,21,-3,-27,-1,0,0,1,0,-1,0,0,0,0,1
KR_6716697614,7,3,26,1,-1,1,1,0,2,0,1,-13,3,1
KR_6745252643,-20,-16,-22,-1,-1,-1,-1,0,-3,-6,-1,-3,2,1
KR_6750702422,0,1,11,-1,1,1,1,0,3,-5,-21,45,4,1
KR_6749049214,7,3,49,1,-1,-1,1,0,4,6,-4,13,6,1
KR_6743735999,21,12,-15,1,1,1,1,0,3,4,-38,21,4,1
KR_6746299574,98,25,15,1,0,0,1,1,2,0,52,0,0,1
KR_6748424403,-11,-5,13,1,1,-1,-1,0,0,9,-43,-28,3,1
KR_6725091622,18,17,78,1,1,1,1,0,6,-5,40,19,6,1
KR_6747125341,9,7,0,1,1,-1,1,0,2,-1,7,19,2,1
KR_6751406255,30,19,-12,1,1,1,1,0,5,2,23,7,2,1
KR_6744690861,2,0,24,1,-1,-1,-1,0,-3,5,-7,-20,3,1
KR_6740764925,7,6,-3,1,1,-1,0,0,3,4,0,-3,1,1
KR_6735299977,3,2,58,-1,-1,-1,-1,0,1,6,-4,-7,5,1
KR_6747867191,2,-1,-17,1,-1,-1,-1,0,2,2,3,11,6,1
KR_6733155420,36,11,5,-1,0,0,1,0,2,0,-2,0,0,1
KR_6744615372,15,10,42,1,1,-1,-1,0,3,4,-6,25,4,1
KR_6749287620,99,25,21,1,0,0,1,2,5,0,-5,0,0,1
KR_6727507273,7,0,10,-1,-1,-1,-1,0,0,8,-12,4,4,1
KR_6730095025,61,12,7,-1,0,0,-1,1,5,0,0,0,0,1
KR_6748595812,7,4,85,-1,1,-1,1,0,3,-6,6,-18,1,1
KR_6735933176,-7,-3,107,-1,-1,1,0,0,2,5,-47,-2,6,1
KR_6748334392,8,5,20,1,-1,1,1,0,1,10,0,6,1,1
KR_6749605857,0,-7,3,-1,0,0,1,1,-3,0,0,0,0,1
KR_6720315477,17,19,77,1,1,1,1,0,9,28,-40,93,4,1
KR_6749694645,1,3,3,-1,-1,1,-1,0,1,1,-12,-15,6,1
KR_6740973298,13,4,-52,1,1,-1,-1,0,1,3,22,12,5,1
KR_6747980472,3,4,19,1,-1,1,1,0,3,1,-25,-1,2,1
KR_6739977062,16,8,-22,1,1,-1,-1,0,3,10,-8,17,5,1
KR_6749070927,56,10,-10,-1,0,0,1,1,3,-3,30,0,0,1
KR_6734742133,10,7,26,1,1,-1,0,0,6,0,18,31,2,1
KR_6738765168,4,3,39,1,1,-1,1,0,3,-2,19,-4,5,1
KR_6746206340,18,12,57,-1,1,-1,1,0,6,5,4,22,2,1
KR_6749635833,2,6,55,1,-1,-1,1,0,2,26,-34,-4,5,1
KR_6743971365,-1,-3,22,1,-1,-1,0,0,0,2,-1,-28,3,1
KR_6750853157,11,5,46,1,1,1,1,0,3,13,-6,8,4,1
KR_6748559909,3,3,-40,1,1,-1,1,0,0,0,8,3,2,1
KR_6751323762,18,15,10,1,0,0,1,1,5,-4,19,0,0,1
KR_6748360684,-5,-3,-7,1,1,1,0,0,0,-8,3,-5,6,1
KR_6735332615,4,5,-24,-1,1,1,1,0,0,3,-4,-15,3,1
KR_6749661346,2,-1,39,-1,1,-1,1,0,3,1,-4,-13,1,1
