matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6746700838,420,-6,-8,-7,-1,-1,-1,-1,0,2,-2,-20,4,1,1
KR_6751577994,450,28,7,-7,1,0,0,-1,0,3,13,-55,0,0,1
KR_6744407775,420,-11,-9,-42,1,-1,1,-1,0,-3,-5,-34,-23,2,1
KR_6744228408,420,5,7,-24,1,-1,1,1,0,2,4,-3,24,2,1
KR_6713060779,420,0,-2,-9,1,1,-1,1,0,0,-2,41,19,4,1
KR_6752178265,420,-13,-6,13,-1,-1,1,1,0,-1,0,-46,-23,3,1
KR_6745467676,420,6,5,-41,-1,1,1,1,0,1,-1,3,-1,4,1
KR_6750549701,420,18,7,-94,-1,-1,1,-1,0,-2,-2,1,-24,5,1
KR_6738845035,420,-5,1,0,1,-1,1,0,0,2,1,3,-23,6,1
KR_6748190467,420,9,8,-37,-1,1,1,1,0,3,-3,-5,18,3,1
KR_6736701648,420,12,9,93,1,1,1,1,0,3,2,359,-8,5,1
KR_6736320641,420,12,7,66,1,1,1,1,0,3,3,21,7,2,1
KR_6751245693,420,7,3,91,1,0,-1,1,0,1,-4,-9,-47,0,1
KR_6751585148,420,-3,0,21,1,-1,-1,-1,0,1,-4,-4,-3,6,1
KR_6743469707,420,15,16,106,1,1,1,1,0,9,2,15,13,2,1
KR_6744006160,420,15,9,35,1,1,1,1,0,4,6,30,-1,5,1
KR_6750035237,420,2,3,-45,1,1,1,1,0,-2,2,-2,7,4,1
KR_6731549763,420,-10,-10,-55,-1,-1,-1,-1,0,-7,-5,28,-64,4,1
KR_6747248737,450,34,14,35,1,0,0,1,1,0,0,7,0,0,1
KR_6750310182,420,19,10,-21,1,1,1,1,0,2,1,5,10,2,1
KR_6751432747,420,11,8,83,-1,1,-1,1,0,4,6,-17,30,6,1
KR_6750820394,420,2,7,-6,1,0,1,1,0,1,2,16,-23,0,1
KR_6749531802,450,25,7,7,1,0,0,-1,1,4,0,-33,0,0,1
KR_6749012996,420,3,4,25,-1,-1,-1,-1,0,1,14,-34,16,6,1
KR_6732845496,420,3,4,3,-1,1,1,-1,0,0,-4,4,4,2,1
KR_6741985336,420,8,8,-9,1,1,-1,0,0,1,10,1,9,1,1
KR_6720219734,420,4,3,109,-1,1,-1,1,0,3,-1,1,-7,5,1
KR_6747984217,420,11,11,19,1,1,1,-1,0,3,1,40,14,2,1
KR_6746387786,450,-7,4,1,-1,0,0,1,0,1,0,1,0,0,1
KR_6718924905,420,5,7,-46,-1,1,1,1,0,2,-4,46,20,2,1
KR_6748517696,420,23,14,74,1,1,1,1,0,7,0,6,63,2,1
KR_6744466742,420,7,6,9,1,1,-1,-1,0,2,-1,29,-4,6,1
KR_6744648648,420,1,1,30,-1,1,1,1,0,3,-6,-3,6,1,1
KR_6747406127,420,22,17,12,1,1,1,1,0,4,2,29,13,3,1
KR_6748397197,420,1,3,96,1,1,-1,1,0,3,8,-1,15,4,1
KR_6751613762,430,-5,-8,-26,-1,-1,-1,-1,0,-1,-3,16,10,5,1
KR_6749328287,440,4,4,4,1,-1,1,1,0,2,-2,9,2,1,1
KR_6742394948,420,-2,3,74,1,-1,-1,1,0,1,2,-5,-32,2,1
KR_6743819984,420,10,5,20,1,1,-1,-1,0,1,-6,33,-21,3,1
KR_6744583913,420,9,6,61,-1,0,1,1,0,6,-2,-1,30,0,1
KR_6747229649,420,-3,-2,21,1,-1,1,0,0,1,-4,37,-12,2,1
KR_6750843628,700,19,16,96,1,1,-1,1,0,7,3,-2,12,4,1
KR_6725807830,420,20,10,3,1,1,1,1,0,2,4,72,12,2,1
KR_6725369595,420,19,9,8,1,1,1,1,0,-1,-1,6,10,4,1
KR_6744609160,420,8,5,38,1,1,-1,-1,0,-2,-5,4,-8,5,1
KR_6741656410,420,7,3,56,1,-1,1,1,0,1,18,-65,-26,5,1
KR_6749248924,430,13,10,25,1,1,1,1,0,2,5,16,4,5,1
KR_6748385311,420,-14,-15,-36,-1,-1,-1,0,0,-4,-4,-7,-29,3,1
KR_6715905009,420,4,5,88,1,1,-1,1,0,2,-1,-32,19,4,1
KR_6749474733,420,0,-2,-28,1,-1,1,0,0,-2,-5,29,-10,1,1
KR_6746775390,420,7,5,40,1,-1,1,1,0,3,4,-2,-6,1,1
KR_6749585670,420,-12,0,29,-1,-1,-1,1,0,0,-5,-25,1,6,1
KR_6749115594,420,5,0,13,-1,1,-1,0,0,0,4,7,5,5,1
KR_6747375908,420,3,2,18,-1,1,1,1,0,0,3,35,15,1,1
KR_6746397197,420,13,4,36,-1,1,-1,-1,0,4,-6,19,44,2,1
KR_6734569677,450,-9,0,7,1,0,0,1,1,-1,7,-45,0,0,1
KR_6744011471,420,15,7,27,-1,1,1,1,0,3,-2,21,-5,1,1
KR_6733112239,420,4,3,-13,1,-1,1,1,0,3,-3,14,11,4,1
KR_6748389428,420,8,8,31,1,1,1,1,0,4,2,8,8,3,1
KR_6750430721,450,21,4,23,1,0,0,1,1,0,0,0,0,0,1
KR_6747685432,420,2,-3,-48,-1,0,1,-1,0,-3,-14,5,14,0,1
KR_6745207800,420,14,1,-26,-1,1,1,1,0,0,0,-39,8,3,1
KR_6734275617,420,26,11,44,-1,1,-1,-1,0,5,-1,1,17,2,1
KR_6743715108,420,-4,-2,35,1,1,-1,-1,0,0,0,-27,-37,5,1
KR_6744613081,420,-1,0,47,1,1,1,1,0,-1,6,-54,-1,5,1
KR_6746347403,420,6,2,1,1,-1,1,-1,0,-1,-1,-9,3,1,1
KR_6742834015,450,-32,-4,-18,1,0,0,-1,0,0,0,0,0,0,1
KR_6740405628,420,27,17,54,1,1,-1,1,0,8,8,33,32,4,1
KR_6743149259,420,19,24,138,1,1,-1,1,0,8,0,7,47,6,1
KR_6749239007,450,18,6,7,1,0,0,1,1,0,0,560,0,0,1
KR_6742337043,440,5,15,153,-1,0,1,1,0,7,3,5,41,0,1
KR_6747489312,420,2,4,14,1,1,1,1,0,0,11,18,17,1,1
KR_6750443115,450,-10,-6,6,-1,0,0,1,1,-1,3,-25,0,0,1
KR_6740179688,420,14,11,121,1,1,-1,1,0,2,0,32,21,6,1
