matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6757882094,440,2,41,20,8,1,3,2,0,0,0,2,2,0,2,2,0,3,3,0,0,7,40,-3,4,1,-18,0,1,1,-1,1,1,3,1
KR_6727912612,440,7,52,34,6,2,5,3,5,5,0,-1,2,3,0,2,2,0,4,4,-2,0,9,0,3,3,-1,0,2,0,1,1,-1,0,1
KR_6748723152,420,1,69,20,7,0,0,0,6,6,0,1,3,2,2,3,1,-2,0,2,0,4,-27,1,4,5,26,0,0,-1,0,0,-1,4,1
KR_6736246813,420,2,18,4,-2,3,4,1,-1,2,3,-3,1,4,0,3,3,-1,1,2,0,-4,6,-4,5,1,3,0,1,1,1,1,-1,4,1
KR_6521762015,420,5,38,-7,11,2,2,0,5,5,0,0,1,1,3,4,1,1,3,2,1,14,384,3,3,6,2,0,0,1,1,0,1,3,1
KR_6729715952,420,-1,38,8,-2,-4,0,4,-1,3,4,3,4,1,-1,3,4,1,1,0,1,-2,-21,-5,8,3,3,0,1,0,0,1,1,0,1
KR_6749226834,420,-1,52,2,-2,1,6,5,-1,1,2,-2,1,3,2,4,2,-2,2,4,0,-5,-5,-4,5,1,5,0,0,0,1,0,-1,0,1
KR_6761924127,440,4,29,19,-1,-4,1,5,2,4,2,0,1,1,3,13,10,-2,1,3,-2,1,2,3,3,6,-4,0,0,-1,-1,-1,-1,4,1
KR_6475161273,440,-3,-31,-5,-8,-6,0,6,-1,0,1,6,9,3,-1,0,1,-6,0,6,1,-4,0,1,4,5,-3,0,0,1,1,0,1,5,1
KR_6763537567,420,-5,-47,0,-4,-6,0,6,3,6,3,2,3,1,3,3,0,-6,0,6,0,0,-1,1,3,4,1,0,-1,0,-1,-1,-1,0,1
