matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6685625513,420,2,19,-68,8,1,2,1,3,7,4,-2,1,3,3,4,1,3,3,0,0,7,-19,-6,6,0,0,0,1,-1,-1,1,1,1,1
KR_6759278968,420,1,21,12,1,1,2,1,-3,1,4,-1,1,2,5,6,1,-1,2,3,0,1,333,2,5,7,1,0,-1,-1,1,-1,1,1,1
KR_6595233553,420,0,13,15,2,0,3,3,4,6,2,0,2,2,0,5,5,-2,1,3,0,2,-3,0,4,4,-1,0,0,0,1,1,1,0,1
KR_6627791338,420,1,14,-19,1,5,5,0,-5,3,8,-2,1,3,2,3,1,1,2,1,-2,-3,-7,-1,6,5,5,0,1,1,1,1,-1,3,1
KR_6750236050,420,3,39,37,0,2,2,0,-1,2,3,0,1,1,0,4,4,-1,1,2,0,-9,2,2,4,6,0,0,0,1,1,0,-1,6,1
KR_6755832960,420,2,32,3,4,2,2,0,5,6,1,1,4,3,0,0,0,-4,0,4,0,-3,-128,0,3,3,2,0,-1,-1,1,-1,1,5,1
KR_6183156799,420,1,47,9,7,-3,2,5,4,5,1,4,4,0,1,2,1,1,2,1,0,5,-298,0,7,7,-3,0,1,-1,-1,1,1,1,1
KR_6606738955,420,0,0,14,4,-3,1,4,5,9,4,9,11,2,-5,2,7,-2,4,6,0,1,106,0,3,3,2,0,0,1,1,-1,-1,2,1
KR_6380868819,440,-2,-7,-36,-2,0,0,0,-2,2,4,-6,1,7,5,5,0,1,2,1,0,6,-141,1,4,5,5,0,0,-1,-1,0,-1,5,1
KR_6759590535,440,1,-5,24,-3,-6,1,7,3,3,0,1,4,3,-2,4,6,1,1,0,0,-3,-4,-4,5,1,2,0,0,1,1,-1,-1,1,1
KR_6551631315,420,1,21,24,-1,1,4,3,3,7,4,-3,3,6,-1,3,4,-1,0,1,0,-12,-2,2,5,7,2,0,1,-1,1,1,-1,6,1
KR_6764461686,420,-1,34,8,5,2,4,2,-1,4,5,0,1,1,-2,1,3,6,6,0,0,12,14,-4,4,0,1,0,0,-1,0,0,1,6,1
KR_6735572310,420,3,6,20,4,-5,0,5,3,4,1,5,6,1,0,0,0,1,1,0,0,6,-1,1,4,5,1,0,1,1,1,1,-1,1,1
KR_6757369644,440,1,18,20,7,-5,3,8,2,3,1,-1,2,3,7,8,1,4,5,1,0,13,25,2,1,3,6,0,1,1,-1,-1,-1,2,1
KR_6760903874,420,3,41,-12,9,-1,0,1,6,6,0,1,1,0,0,2,2,3,3,0,0,11,-14,-6,9,3,1,0,0,1,0,1,1,4,1
KR_6764243993,420,0,27,15,-2,-3,1,4,2,4,2,5,7,2,0,2,2,-6,0,6,-1,-7,3,1,4,5,-3,0,1,-1,-1,1,-1,2,1
KR_6725924990,420,1,52,42,5,8,9,1,-2,1,3,-5,1,6,4,5,1,0,0,0,0,-6,6,1,1,2,3,0,2,-1,1,1,1,5,1
KR_6764977659,420,1,-31,20,0,-2,2,4,0,2,2,0,1,1,3,3,0,-1,0,1,0,1,-9,2,4,6,-3,0,0,1,1,0,-1,6,1
KR_6728366542,420,2,7,28,3,-5,0,5,-2,3,5,4,4,0,2,5,3,4,5,1,0,3,14,-3,11,8,-4,0,-1,1,-1,-1,-1,2,1
KR_6732958593,420,2,-71,0,5,-1,1,2,8,8,0,3,5,2,-5,1,6,0,0,0,0,5,41,-2,5,3,4,0,2,-1,1,1,-1,6,1
KR_6760387343,420,1,9,53,0,-3,0,3,2,8,6,2,5,3,-2,2,4,1,4,3,0,-12,8,2,7,9,3,0,-1,1,1,-1,-1,5,1
KR_6764099047,420,0,4,4,3,0,4,4,2,2,0,-6,1,7,7,8,1,0,2,2,1,9,-7,-1,4,3,-1,0,0,-1,-1,-1,1,3,1
KR_6767455104,440,0,107,-34,-7,3,4,1,-3,1,4,-3,1,4,0,4,4,-4,0,4,-1,-19,-11,-6,9,3,-1,0,-1,-1,1,-1,-1,2,1
KR_6746474942,420,0,-61,27,9,0,1,1,4,5,1,1,2,1,3,4,1,1,1,0,0,10,-45,-1,4,3,21,0,-1,-1,0,-1,1,6,1
KR_6647359877,420,2,6,9,10,1,4,3,7,7,0,-2,0,2,3,3,0,1,2,1,1,14,4,-4,4,0,7,0,0,1,-1,1,1,5,1
KR_6762823988,420,-3,-18,-20,-11,-4,0,4,1,5,4,-7,1,8,4,11,7,-5,1,6,-2,-16,5,4,1,5,-2,0,-2,1,-1,-1,-1,3,1
KR_6768043747,420,1,2,-12,4,3,4,1,4,5,1,-2,3,5,-2,2,4,1,1,0,0,5,-6,1,3,4,4,0,0,1,1,0,1,3,1
KR_6762484627,420,-1,59,-20,-3,2,4,2,-5,3,8,2,2,0,0,4,4,-2,1,3,-2,-7,2,2,2,4,4,0,0,-1,-1,0,-1,6,1
KR_6695268362,420,-3,-69,-28,-6,-3,0,3,-1,2,3,0,2,2,1,1,0,-3,1,4,0,-1,-6,1,5,6,0,0,0,0,1,0,-1,0,1
KR_6733679347,420,4,74,0,10,4,7,3,3,4,1,3,4,1,-3,2,5,3,4,1,0,2,2,-2,5,3,-1,0,2,1,1,1,-1,4,1
KR_6605790691,420,5,37,40,13,4,4,0,3,5,2,5,5,0,6,7,1,-5,1,6,0,7,-4,-6,7,1,3,0,2,-1,1,1,1,4,1
KR_6762089187,420,0,4,12,4,3,3,0,3,4,1,6,7,1,-7,1,8,-1,0,1,0,0,-10,2,4,6,5,0,1,0,1,1,1,0,1
KR_6756528675,420,8,66,18,13,5,5,0,3,4,1,4,5,1,1,4,3,0,0,0,0,8,-3,2,3,5,2,0,2,1,1,1,-1,5,1
KR_6762779334,420,1,41,-4,9,-1,2,3,4,4,0,-1,2,3,1,3,2,6,6,0,1,15,8,1,1,2,1,0,1,1,1,1,1,1,1
KR_6755253160,420,2,-10,20,5,-6,2,8,6,6,0,2,4,2,1,4,3,2,2,0,0,12,8,6,2,8,1,0,0,1,1,-1,-1,1,1
KR_6739815311,420,-3,-34,-12,-3,-2,0,2,-2,3,5,-2,2,4,3,3,0,0,0,0,0,2,-38,-1,4,3,26,0,-2,1,-1,-1,-1,1,1
KR_6605990070,420,1,25,8,2,0,0,0,-3,0,3,3,4,1,2,2,0,0,0,0,0,2,-10,0,4,4,2,0,0,1,0,0,-1,6,1
KR_6743272695,420,6,49,10,12,2,2,0,4,7,3,2,2,0,5,7,2,-1,0,1,0,6,4,2,1,3,-3,0,1,-1,1,1,1,3,1
KR_6682569351,420,6,68,-15,14,2,4,2,4,5,1,5,6,1,2,5,3,1,2,1,1,17,7,5,4,9,0,0,1,1,1,1,1,1,1
KR_6729250826,420,1,-38,2,8,0,0,0,2,5,3,-1,3,4,6,7,1,1,2,1,0,12,21,1,2,3,3,0,0,1,1,1,-1,2,1
KR_6755308261,420,0,6,13,-5,2,4,2,-1,4,5,-2,0,2,-4,0,4,0,0,0,0,-4,1,-1,2,1,-2,0,-1,1,-1,-1,-1,6,1
KR_6759866527,420,2,19,17,-1,0,4,4,-3,1,4,2,4,2,0,5,5,0,2,2,0,0,43,-2,7,5,-8,0,2,-1,-1,1,1,5,1
KR_6618744772,420,3,-17,24,7,-2,0,2,0,0,0,1,2,1,4,4,0,4,5,1,0,7,-20,3,4,7,3,0,1,1,1,1,1,6,1
KR_6661716056,420,2,9,18,11,-2,1,3,6,8,2,7,9,2,0,3,3,0,0,0,1,19,-2,1,3,4,-2,0,-1,1,-1,-1,1,1,1
KR_6761894068,440,-4,-13,-4,-8,4,4,0,-6,0,6,-3,0,3,-4,2,6,1,3,2,0,-10,0,3,5,8,-5,0,-1,-1,-1,-1,-1,4,1
KR_6755361154,420,0,36,4,0,-2,0,2,7,10,3,1,3,2,-3,2,5,-3,0,3,1,2,-7,1,2,3,2,0,1,1,0,1,1,5,1
KR_6644002234,440,5,71,28,13,6,6,0,3,4,1,1,3,2,-2,0,2,5,5,0,0,10,2,5,3,8,-2,0,1,1,1,1,-1,5,1
KR_6764226853,420,4,51,16,9,-1,0,1,-1,1,2,4,4,0,6,7,1,1,1,0,0,8,-2,0,4,4,0,0,0,1,-1,0,1,5,1
KR_6755384638,420,1,8,-8,7,-3,0,3,-5,0,5,2,3,1,7,8,1,6,8,2,0,10,-212,4,3,7,-1,0,1,1,-1,1,1,6,1
KR_6764393078,440,3,-35,0,10,0,2,2,-2,2,4,8,9,1,3,4,1,1,2,1,0,8,10,4,1,5,1,0,1,-1,0,1,1,1,1
KR_6672644828,420,5,110,4,9,2,2,0,-1,1,2,2,2,0,4,4,0,2,2,0,1,13,-141,4,2,6,-2,0,3,1,1,1,1,1,1
KR_6690754686,420,-2,-51,3,-6,-2,0,2,1,2,1,-2,3,5,-2,2,4,-1,0,1,0,-9,-3,3,1,4,1,0,1,-1,0,1,-1,1,1
KR_6742163892,420,2,27,4,8,1,1,0,3,3,0,1,3,2,0,5,5,3,3,0,0,5,0,5,3,8,-6,0,1,-1,1,1,1,1,1
KR_6649547454,420,2,72,8,0,2,2,0,-2,2,4,-2,1,3,1,2,1,1,1,0,0,-3,-108,0,6,6,-4,0,0,1,0,0,1,1,1
KR_6625243337,420,4,26,44,7,7,8,1,-4,2,6,3,3,0,3,3,0,-2,0,2,-1,2,-3,1,6,7,1,0,2,1,1,1,-1,6,1
KR_6729872751,440,2,-17,29,8,-3,1,4,0,4,4,7,8,1,4,5,1,0,1,1,1,13,28,0,3,3,5,0,0,0,1,0,1,0,1
KR_6710269738,420,-1,-30,12,4,0,0,0,1,2,1,4,5,1,-1,1,2,0,0,0,0,1,7,-1,5,4,0,0,-1,1,1,-1,1,1,1
KR_6757726005,420,-3,-47,-4,-7,-3,0,3,-2,2,4,1,1,0,-4,0,4,1,1,0,0,-4,-102,1,7,8,-25,0,0,0,1,0,-1,0,1
KR_6753722036,420,2,52,4,5,1,2,1,0,2,2,0,1,1,3,4,1,1,3,2,-1,8,11,-1,7,6,0,0,-1,-1,-1,-1,-1,6,1
KR_6748080645,420,4,130,-9,13,1,6,5,1,1,0,5,8,3,2,3,1,4,5,1,1,9,-2,1,2,3,-2,0,2,-1,-1,1,1,4,1
KR_6765545820,420,2,12,-25,6,1,2,1,1,7,6,-1,1,2,5,7,2,0,0,0,0,12,-5,-1,3,2,2,0,2,1,1,1,-1,6,1
KR_6638019799,420,8,83,48,18,5,6,1,3,3,0,1,3,2,9,10,1,0,0,0,0,15,-6,-2,4,2,0,0,1,1,-1,1,1,5,1
KR_6716139539,420,2,-19,30,8,-1,2,3,3,3,0,5,5,0,2,3,1,-1,0,1,0,12,127,2,2,4,-5,0,1,-1,1,1,-1,6,1
KR_6767559432,420,1,-11,31,-1,-3,1,4,-4,0,4,1,3,2,5,5,0,0,0,0,0,2,18,-1,4,3,2,0,1,1,1,1,-1,5,1
KR_6678623586,420,3,28,6,8,1,2,1,6,8,2,1,3,2,0,3,3,0,0,0,0,7,-10,2,4,6,3,0,1,0,1,1,1,0,1
KR_6763378887,440,-3,-24,-8,-1,0,0,0,-2,1,3,2,2,0,-1,4,5,0,0,0,0,3,-33,2,2,4,-4,0,0,1,-1,-1,1,6,1
KR_6751158302,420,4,25,52,-1,-1,0,1,-3,1,4,-2,1,3,5,6,1,0,1,1,0,-2,0,1,3,4,2,0,0,1,1,0,-1,4,1
KR_6762199338,420,2,-1,50,3,-6,1,7,6,7,1,1,3,2,2,2,0,0,0,0,0,7,-4,-2,6,4,-5,0,-1,1,-1,-1,-1,2,1
KR_6765772893,440,-2,-30,22,-5,2,3,1,-4,1,5,0,3,3,-2,3,5,-1,0,1,0,-10,-7,0,4,4,-2,0,-1,0,1,1,1,0,1
KR_6659147763,440,3,-17,16,3,2,3,1,1,1,0,4,4,0,-2,1,3,-2,0,2,0,-2,108,0,4,4,-2,0,0,1,1,1,1,4,1
KR_6756856442,420,3,18,0,7,0,1,1,-1,2,3,2,3,1,0,0,0,6,7,1,-1,8,-2,2,4,6,1,0,0,1,1,0,-1,1,1
KR_6705658013,420,2,40,-4,9,6,7,1,0,3,3,3,3,0,0,0,0,0,1,1,0,4,3,0,7,7,3,0,1,-1,1,1,1,3,1
KR_6489101055,420,2,30,20,-5,3,3,0,-5,0,5,-3,0,3,1,2,1,-1,0,1,0,-10,10,-4,6,2,2,0,0,1,-1,0,-1,4,1
KR_6765306782,420,2,26,-20,5,3,4,1,4,4,0,0,4,4,-6,1,7,4,4,0,-2,4,145,3,4,7,-2,0,0,1,1,1,1,3,1
KR_6766868444,420,2,-30,24,12,6,6,0,3,4,1,5,5,0,-2,3,5,0,0,0,0,9,6,3,2,5,2,0,2,0,1,1,1,0,1
KR_6656985249,440,0,14,10,-7,2,4,2,-2,0,2,-3,1,4,-1,1,2,-3,1,4,0,-5,120,3,3,6,-1,0,-1,1,-1,-1,-1,3,1
KR_6760972882,440,-2,4,-1,-3,0,2,2,0,1,1,1,2,1,-1,0,1,-3,1,4,0,-2,-12,1,4,5,-4,0,0,-1,-1,-1,-1,6,1
KR_6611213231,420,4,69,-3,6,0,2,2,2,3,1,-1,1,2,3,4,1,2,2,0,0,7,-1,-1,3,2,1,0,2,-1,1,1,-1,1,1
KR_6765319504,420,7,67,-12,12,8,9,1,5,5,0,-1,0,1,0,2,2,0,1,1,0,-2,15,6,3,9,-2,0,3,1,1,1,1,1,1
KR_6763639354,440,5,62,8,12,3,3,0,4,4,0,3,4,1,0,2,2,2,2,0,0,11,-9,1,2,3,2,0,3,-1,1,1,1,3,1
KR_6679873403,420,-1,-42,-3,2,-1,1,2,4,7,3,-3,1,4,2,3,1,0,0,0,0,7,22,3,6,9,-2,0,-1,1,1,-1,1,3,1
KR_6673147686,420,1,34,4,6,3,4,1,1,8,7,-2,2,4,4,6,2,0,1,1,0,5,5,4,1,5,4,0,1,1,1,1,-1,2,1
KR_6677249564,420,3,14,-4,4,1,2,1,2,6,4,1,2,1,0,1,1,0,0,0,0,0,-16,3,3,6,-2,0,1,-1,0,1,1,1,1
