matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6763223052,440,0,27,-40,0,-2,4,2,1,3,4,1,1,2,3,3,6,-3,4,-1,0,3,-1,1,-4,3,-2,0,0,1,-1,1,1,3,-1
KR_6763758113,420,-3,-8,-32,-6,-2,3,1,-3,3,0,-2,3,1,2,2,4,-1,3,-2,0,1,0,5,-5,0,-1,0,0,1,1,0,-1,5,-1
KR_6726632713,420,-3,-88,27,-10,-4,4,0,-6,8,2,3,1,4,-2,4,2,-1,2,-1,0,8,-3,-2,-2,4,3,0,-2,1,-1,-1,-1,6,-1
KR_6726817558,440,-3,-36,-23,0,-2,3,1,6,1,7,-1,2,1,0,6,6,-3,4,-1,-1,-5,0,2,-5,3,-2,0,-1,1,0,-1,-1,5,-1
KR_6750452809,420,-2,-66,2,-2,0,0,0,-1,2,1,3,1,4,-2,4,2,-2,2,0,0,5,-49,-2,-3,5,-26,0,0,-1,0,-1,-1,5,-1
KR_6758544420,420,-4,-2,-24,-13,-1,1,0,2,2,4,-9,9,0,-2,6,4,-3,3,0,1,14,0,-3,-2,5,0,0,0,0,-1,0,1,0,-1
KR_6755306063,420,0,-24,0,0,-1,2,1,4,0,4,-1,5,4,-2,4,2,0,1,-1,0,-1,41,2,-5,3,22,0,0,0,0,0,-1,0,-1
KR_6632772822,420,0,-46,28,-3,-1,5,4,3,0,3,-1,3,2,-3,5,2,-1,3,-2,0,-1,-15,-2,-4,6,-2,0,0,1,1,-1,-1,1,-1
KR_6620519272,420,3,-9,-28,0,0,6,6,3,2,5,0,2,2,-1,3,2,-2,2,0,-2,-7,3,-1,-3,4,-2,0,-1,1,-1,-1,-1,4,-1
KR_6565363136,420,-1,-34,-8,3,0,2,2,-1,4,3,-2,3,1,7,0,7,-1,1,0,1,-9,-2,-2,-1,3,-3,0,1,1,1,1,1,5,-1
KR_6748688099,420,-2,-20,3,-6,-2,2,0,-1,3,2,0,1,1,-1,3,2,-2,2,0,1,3,-26,0,-6,6,2,0,0,-1,1,0,1,6,-1
KR_6732335317,420,0,34,-3,-1,1,0,1,0,5,5,1,0,1,-2,2,0,-1,1,0,0,6,13,-1,-1,2,0,0,0,-1,-1,0,1,4,-1
KR_6739063897,420,-1,10,-4,-2,2,1,3,-2,4,2,-3,5,2,2,1,3,-1,1,0,0,11,-53,4,-5,1,-1,0,0,-1,1,1,-1,4,-1
KR_6754197195,420,-4,-3,4,-7,1,1,2,-5,6,1,2,2,4,-1,3,2,-4,4,0,0,7,-12,0,-5,5,3,0,0,-1,0,0,1,1,-1
KR_6579916424,420,-1,-27,24,6,8,0,8,1,4,5,-3,5,2,0,3,3,0,1,-1,1,-2,15,3,-6,3,-2,0,1,1,1,1,1,4,-1
KR_6738453333,420,-2,20,3,-3,5,2,7,0,0,0,-5,6,1,-1,3,2,-2,2,0,0,0,0,0,-2,2,2,0,-1,-1,-1,-1,1,4,-1
KR_6761395132,420,-4,-49,-32,-3,1,0,1,-2,4,2,-1,1,0,-1,2,1,0,1,-1,0,1,13,3,-6,3,6,0,-1,-1,0,-1,-1,1,-1
KR_6743616393,420,-4,-65,-12,-10,1,0,1,-1,1,0,-3,6,3,-3,3,0,-4,4,0,0,14,-8,-6,-3,9,2,0,-2,-1,-1,-1,-1,5,-1
KR_6613103318,420,-4,-66,-24,-3,-2,5,3,4,2,6,-5,6,1,1,2,3,-1,1,0,0,-1,-5,1,-7,6,3,0,0,-1,1,0,-1,5,-1
KR_6733619900,420,-3,-26,3,-13,-2,3,1,-5,5,0,-3,3,0,-3,3,0,0,0,0,0,13,-17,-5,-1,6,2,0,-1,-1,-1,-1,-1,2,-1
