matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6381786789,420,-6,-97,-26,-18,-1,3,2,-8,9,1,0,3,3,-8,9,1,-1,2,1,-1,-20,-68,-7,-1,8,20,0,-1,-1,-1,-1,-1,3,-1
KR_6724904126,420,0,41,6,1,1,1,2,1,1,2,1,1,2,-1,2,1,-1,3,2,0,-1,40,-1,-1,2,-19,0,-1,-1,-1,-1,1,1,-1
KR_6614612671,420,-3,-28,-13,-12,-8,9,1,0,2,2,-4,6,2,0,2,2,0,0,0,0,-10,23,2,-6,4,-3,0,-1,-1,1,-1,-1,1,-1
KR_6770113402,420,2,-60,7,6,0,1,1,2,2,4,2,1,3,1,0,1,1,0,1,0,7,4,4,-7,3,0,0,0,1,-1,0,1,3,-1
KR_6573769962,420,0,-20,28,-4,-3,3,0,3,3,6,-5,5,0,1,0,1,0,2,2,0,-3,-5,-1,-5,6,-2,0,-1,-1,-1,-1,-1,6,-1
KR_6770491741,420,1,5,-8,4,-1,1,0,1,1,2,2,1,3,0,1,1,2,0,2,1,6,111,0,-5,5,5,0,0,1,1,1,1,1,-1
KR_6744866235,420,0,92,-1,-2,1,1,2,-1,4,3,-4,4,0,0,4,4,2,0,2,1,-3,-26,0,-7,7,-19,0,1,-1,-1,1,1,6,-1
KR_6737890064,420,-2,-55,-33,0,-1,2,1,-3,3,0,7,3,10,-1,3,2,-2,2,0,0,8,-12,-3,-2,5,1,0,-1,-1,0,-1,-1,2,-1
KR_6769179822,420,2,-1,-8,3,-1,2,1,-3,5,2,4,1,5,0,4,4,3,1,4,0,-3,3,-5,-5,10,-1,0,-1,-1,-1,-1,-1,5,-1
KR_6325662463,420,-1,70,-26,-2,0,2,2,-1,2,1,-2,4,2,0,2,2,1,2,3,0,0,-10,-3,-5,8,-4,0,1,0,-1,-1,-1,0,-1
KR_6709991703,440,-6,-90,-22,-18,-4,6,2,-7,7,0,4,2,6,-2,2,0,-9,11,2,0,-28,-9,-3,-4,7,0,0,-2,-1,-1,-1,-1,6,-1
KR_6768896801,420,-2,-16,16,-5,-5,5,0,0,1,1,2,1,3,0,1,1,-2,2,0,0,-3,-12,-3,-3,6,-1,0,-1,-1,-1,-1,-1,4,-1
KR_6757001319,440,-2,-2,4,-6,-3,4,1,0,2,2,1,1,2,-3,5,2,-1,3,2,0,-4,4,0,-2,2,-3,0,1,-1,1,1,-1,3,-1
KR_6753898772,420,-1,32,56,-12,-6,6,0,-1,4,3,-1,2,1,-4,4,0,0,0,0,-2,-16,5,-1,-3,4,-2,0,0,-1,1,0,-1,3,-1
KR_6729873877,420,-2,-47,6,-2,1,0,1,-3,4,1,2,2,4,2,1,3,-4,6,2,0,-4,-2,-2,-4,6,-4,0,0,1,-1,-1,-1,1,-1
KR_6705342229,420,-2,-26,16,-3,0,4,4,3,1,4,-1,2,1,-5,6,1,0,0,0,0,-3,-2,0,-3,3,2,0,0,1,1,0,-1,5,-1
KR_6758218442,420,1,14,-8,4,-1,2,1,2,0,2,5,2,7,0,3,3,-2,2,0,0,7,59,2,-4,2,-2,0,-1,-1,1,-1,-1,3,-1
KR_6557906272,420,-4,-6,0,-19,-3,3,0,-3,6,3,-4,5,1,-5,6,1,-4,5,1,1,-19,-25,2,-5,3,-1,0,0,-1,-1,-1,1,1,-1
KR_6724896542,420,-3,-99,2,-5,-1,1,0,-2,5,3,2,3,5,-5,8,3,1,1,2,-1,-6,15,5,-10,5,-7,0,-1,-1,1,-1,-1,6,-1
KR_6732570432,420,-4,-45,-7,-7,-2,2,0,-1,4,3,-6,6,0,0,2,2,2,0,2,1,-1,144,-3,-1,4,1,0,0,1,-1,-1,1,5,-1
KR_6727610383,420,2,46,28,1,1,1,2,-3,4,1,-1,7,6,1,4,5,3,2,5,2,0,-1,2,-5,3,3,0,1,1,1,1,1,3,-1
KR_6575611528,420,-1,-47,-11,-3,-3,4,1,-1,2,1,-1,1,0,2,2,4,0,0,0,0,3,4,-4,-5,9,-5,0,-1,0,1,-1,-1,0,-1
KR_6768041063,440,-1,33,-8,-2,-1,3,2,-1,2,1,3,1,4,-2,5,3,-1,2,1,0,-1,-46,-2,-5,7,6,0,1,-1,1,1,-1,1,-1
KR_6751547772,420,4,35,-16,7,2,3,5,3,0,3,2,1,3,-3,7,4,3,3,6,1,7,11,-1,-4,5,-5,0,1,0,-1,1,-1,0,-1
KR_6762575882,420,0,-34,-7,-5,-4,5,1,-2,2,0,-2,4,2,5,1,6,-2,2,0,-1,-2,-7,-3,-3,6,3,0,0,-1,1,-1,-1,1,-1
KR_6679352526,420,-1,-3,5,1,1,4,5,4,0,4,0,2,2,-5,7,2,1,1,2,0,4,16,-2,-4,6,0,0,-1,1,-1,-1,-1,6,-1
