Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,Diff-K-jug,Diff-K-mid,Diff-K-ad,Diff-K-sup,K-LOSE-sup,invadeKill,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
1,-10,0,2,5,4,-2,-4,-1,0,0,-18,2,-4,0,-1,-1,1,-1,1,2,-1
-2,19,-8,-7,0,1,-2,-7,1,-1,0,-35,3,-10,0,0,-1,1,-1,-1,3,-1
-1,-20,-3,0,-1,-1,-1,3,0,-1,0,-6,2,-9,0,1,1,1,-1,-1,2,-1
-2,-14,-25,-7,-1,0,-5,-3,2,-5,0,20,0,-6,0,-2,1,-1,-1,1,3,-1
-4,45,-43,-15,-6,-4,-4,-4,3,-5,0,10,-3,-3,0,0,-1,-1,-1,1,1,-1
1,68,8,-2,1,1,1,1,-6,0,-1,-49,4,-6,0,0,-1,0,1,-1,3,-1
-6,-71,-31,-14,-5,-6,0,-3,0,0,0,-11,-3,-1,0,-2,-1,-1,-1,-1,4,-1
0,-22,13,0,-1,0,1,-1,1,-1,0,3,1,-5,0,-1,1,1,-1,1,1,-1
-2,-54,-4,-3,-2,0,-1,0,0,0,0,-107,0,-5,0,0,0,-1,0,-1,0,-1
-3,-4,-23,-8,-4,1,3,-5,-3,0,0,2,-4,-3,0,-2,-1,-1,-1,-1,4,-1
1,-42,0,-1,0,2,-5,1,1,-2,0,-5,-5,-4,0,1,1,1,1,1,2,-1
-4,-56,-12,-5,-1,-3,1,-1,-1,-2,0,-10,1,-5,0,0,-1,1,0,-1,5,-1
-2,-117,36,0,-1,4,-2,-3,2,-2,0,-1,1,-3,0,-1,0,1,-1,-1,0,-1
-2,-27,-12,-3,3,0,3,-8,-1,0,0,-131,-3,-6,0,-1,-1,1,-1,-1,6,-1
-2,-20,-7,-7,1,-2,-2,-4,0,0,-1,3,-3,-4,0,-1,-1,-1,-1,-1,6,-1
-3,-63,-15,-7,0,-4,-6,1,2,-2,0,-4,-2,-3,0,-1,-1,-1,-1,-1,3,-1
2,12,-16,0,5,-5,0,0,0,0,0,6,3,-6,0,-1,-1,-1,-1,-1,6,-1
4,23,0,13,-1,6,3,4,1,-3,0,-4,2,-6,0,1,0,1,-1,1,0,-1
0,-37,4,-1,6,-5,-3,0,1,-1,0,-7,-3,-2,0,-1,1,-1,-1,-1,4,-1
-6,10,-11,-16,0,0,-4,-7,-5,-1,-1,-13,1,-4,0,0,-1,-1,-1,-1,4,-1
2,22,0,6,-1,4,0,5,-2,-1,0,-2,2,-6,0,-1,1,-1,-1,-1,4,-1
1,16,12,9,-2,1,6,3,1,-1,2,149,0,-2,0,0,1,1,1,1,1,-1
-3,43,-8,-4,1,-4,7,-3,-5,0,0,2,-1,-3,0,-1,1,-1,-1,1,2,-1
2,45,-4,-2,-1,0,4,-3,-2,0,0,-4,1,-8,0,1,-1,1,1,-1,3,-1
-1,-65,-24,-4,-5,-1,1,0,1,-1,-2,-29,1,-2,0,0,-1,1,0,-1,4,-1
-3,-12,-32,0,0,2,-7,7,-2,-1,2,-1,6,-6,0,-1,-1,0,-1,1,6,-1
-1,14,-56,1,-4,-2,0,4,3,-3,1,4,-1,-6,0,0,-1,-1,1,1,3,-1
2,57,30,5,3,-3,2,2,1,-1,-1,-10,-5,-2,0,1,1,-1,1,-1,5,-1
-4,-84,0,-10,0,2,-8,-3,-1,0,0,-122,-5,-4,0,-3,-1,-1,-1,1,4,-1
-4,-84,4,-12,-1,0,-2,-8,-1,0,0,4,1,-4,0,1,-1,-1,1,-1,4,-1
-2,-65,20,-11,-2,-3,3,-5,-4,0,0,-19,2,-5,0,-2,-1,-1,-1,-1,5,-1
-2,-34,-12,-5,-3,-1,-1,0,0,0,0,-11,-3,-3,0,0,0,-1,0,-1,0,-1
-1,53,-12,-7,-2,-4,2,-3,0,-1,1,-3,-1,-3,0,-1,-1,-1,-1,1,2,-1
-3,-41,-16,-5,-5,-2,-1,1,2,-2,0,-2,0,-6,0,0,1,-1,-1,1,4,-1
-4,-53,1,-8,-1,0,-6,-2,1,-2,0,0,-3,-3,0,-1,-1,1,-1,-1,4,-1
1,-21,-15,2,-1,-1,0,0,4,-4,0,-48,-2,-1,0,-1,-1,0,-1,-1,3,-1
-8,-35,-48,-8,-9,-2,2,1,0,0,0,-1,1,-4,0,-1,-1,-1,-1,1,4,-1
1,-9,-5,1,-2,-1,1,1,2,-2,0,4,2,-8,0,0,-1,1,1,-1,4,-1
-2,-15,-21,0,-3,5,-5,2,1,-2,-1,-1,-1,-6,0,-1,1,-1,-1,1,6,-1
-7,-82,-37,-18,-4,-8,-2,-4,0,-1,0,244,-6,-4,0,-1,-1,-1,-1,-1,5,-1
0,-5,12,-3,2,1,-3,-2,-1,-2,0,-12,-4,-1,0,0,0,-1,0,-1,0,-1
-1,-13,4,-5,0,2,-5,-3,1,-1,1,-1,2,-3,0,-1,-1,-1,-1,1,6,-1
1,-11,-12,1,-2,1,4,0,-2,0,0,-148,2,-5,0,0,1,-1,-1,-1,5,-1
-3,-106,-3,0,-4,0,2,4,-2,-1,0,-2,-1,-3,0,-3,0,1,-1,-1,0,-1
0,45,8,-2,1,1,-2,-2,0,-2,0,-19,-3,-4,0,0,-1,1,-1,-1,4,-1
-3,-12,-12,-9,-2,-4,0,-1,-2,0,1,-9,-6,-2,0,-1,0,1,-1,1,0,-1
-4,2,-16,-9,-3,-1,-4,-2,1,-3,0,5,-4,-1,0,2,-1,1,1,1,3,-1
-1,-37,-4,-4,0,2,-4,-2,0,-2,0,-17,-2,-3,0,-2,-1,-1,-1,-1,5,-1
0,2,-4,5,2,5,-2,-1,1,-3,0,-23,-3,-5,0,0,-1,-1,0,1,3,-1
-3,-25,-20,-6,0,0,0,-3,-3,-2,1,-2,-3,-3,0,0,0,0,-1,1,0,-1
0,-64,-33,3,0,1,0,1,1,-3,-1,-43,1,-6,0,-1,-1,1,-1,-1,2,-1
-2,14,4,-1,3,-2,-2,0,0,-1,0,-9,-3,-1,0,0,-1,0,0,1,4,-1
-11,-223,-8,-15,-7,-2,-2,-3,-1,-1,0,-30,-2,-3,0,-5,0,-1,-1,-1,0,-1
-1,-53,16,-7,1,-5,-7,4,0,-1,0,12,0,-4,0,-1,-1,-1,-1,-1,6,-1
-3,-5,-20,-3,-2,-1,0,0,0,-2,0,26,-3,-4,0,0,-1,1,0,1,5,-1
0,-24,19,0,3,2,-1,-4,0,-4,-1,-28,0,-3,0,-2,-1,-1,-1,-1,2,-1
-2,-39,-2,-5,-2,-4,1,0,0,0,0,-4,-2,-3,0,0,0,0,-1,-1,0,-1
-3,-76,-21,-7,-1,2,-7,-2,1,-4,0,3,2,-8,0,-1,0,-1,-1,-1,0,-1
-2,-76,-2,-3,-5,-4,1,6,-1,-1,0,-16,2,-4,0,-1,-1,-1,-1,1,5,-1
2,29,30,2,-3,4,0,1,0,0,0,-7,4,-7,0,1,0,0,1,1,0,-1
-5,-102,-24,-18,-1,-3,-5,-8,-1,0,-1,-6,2,-7,0,-2,-1,1,-1,-1,5,-1
-5,-182,-11,-17,-5,-1,-3,-5,-3,-1,0,-35,0,-4,0,-4,-1,-1,-1,1,3,-1
2,16,14,4,0,3,4,-3,0,0,0,-16,1,-6,0,0,-1,1,-1,1,5,-1
0,-31,-23,0,2,1,-2,-2,1,-2,-1,1,2,-5,0,1,-1,1,-1,-1,6,-1
-2,-45,8,-1,-3,-3,2,2,1,-2,1,-99,1,-10,0,-1,1,0,-1,1,6,-1
-6,-68,-27,-11,-3,-10,0,1,1,-1,0,-5,-1,-4,0,0,1,1,0,-1,2,-1
-3,75,-11,-5,-2,1,-1,-3,0,-2,1,6,4,-7,0,1,1,1,1,1,2,-1
-6,-88,9,-15,-5,-2,-7,1,-2,0,0,-18,-6,-3,0,-1,-1,-1,-1,-1,5,-1
-2,-17,-4,-1,-4,3,-1,3,-2,0,1,11,5,-9,0,0,-1,1,1,1,5,-1
-2,71,-4,-3,1,-3,5,-6,0,0,0,11,0,-3,0,1,1,1,1,-1,2,-1
-3,-56,7,-11,-3,0,-3,-5,0,0,0,45,2,-6,0,-2,-1,1,-1,-1,3,-1
1,16,24,3,4,2,-1,-4,2,-3,0,-3,-2,-3,0,0,0,1,-1,1,0,-1
-1,-25,9,-4,-1,-4,2,1,-2,0,0,0,2,-4,0,0,-1,1,0,1,3,-1
-5,-69,3,-9,1,-4,-5,1,-2,-1,0,-43,1,-4,0,-1,-1,0,-1,-1,3,-1
-7,-22,-26,-14,-10,0,0,-1,-3,0,0,-5,2,-4,0,-1,-1,-1,-1,-1,4,-1
-1,-73,8,1,1,-4,2,0,2,-2,0,10,3,-6,0,0,1,-1,0,1,1,-1
-1,48,-20,7,-1,-1,5,3,1,-2,0,5,3,-5,0,-1,0,0,-1,1,0,-1
-2,4,-19,4,2,1,-1,2,0,0,0,4,-3,-3,0,0,1,-1,0,1,3,-1
-6,-32,-14,-11,0,-3,-8,0,0,-2,0,15,1,-9,0,-1,-1,-1,-1,1,3,-1
-1,3,15,-8,3,-2,-2,-5,-2,0,0,-4,-2,-5,0,-1,1,-1,-1,1,6,-1
-3,-100,-8,-6,-2,-5,2,1,-2,-1,0,-3,2,-5,0,0,-1,-1,-1,1,3,-1
2,-13,45,2,-1,-1,2,1,1,-4,0,-4,0,-8,0,0,-1,1,0,1,6,-1
-1,-14,-16,-5,-4,0,-3,1,1,-1,1,26,2,-6,0,1,1,-1,1,1,4,-1
-6,-63,-24,-5,-5,4,0,-1,-3,0,0,-20,-4,-4,0,-2,-1,-1,-1,1,5,-1
-5,-130,-27,-3,0,1,-3,3,-4,0,0,-8,2,-6,0,-3,-1,-1,-1,1,1,-1
-1,-42,-10,-1,-6,0,4,0,1,-1,0,4,3,-10,0,-1,-1,-1,-1,-1,3,-1
0,-56,12,-3,1,-2,3,-6,1,-1,-1,-5,-4,-1,0,0,0,-1,-1,-1,0,-1
-1,0,16,3,0,2,1,1,-1,0,-1,-1,3,-9,0,0,1,-1,0,-1,4,-1
-3,-20,9,-6,-3,1,-1,-3,0,0,-1,-16,3,-10,0,0,-1,1,1,-1,2,-1
-3,1,-8,-10,4,-4,-1,-8,-1,0,0,-1,-6,-1,0,1,-1,-1,1,-1,6,-1
-14,-176,-48,-14,-2,-4,-2,-3,-3,0,0,-17,-1,0,0,-5,-1,-1,-1,-1,2,-1
-6,-83,12,-13,-3,-2,-3,-3,-2,0,0,-9,-5,-3,0,-2,1,-1,-1,-1,5,-1
-1,13,4,-6,-2,-3,0,1,-2,-2,0,10,-1,-5,0,0,1,-1,-1,1,6,-1
-4,-77,-13,-10,1,-2,-4,-8,3,-3,0,-7,-4,-3,0,0,-1,1,1,1,3,-1
-3,-88,-52,-11,0,-2,-5,-1,-3,-1,0,-4,3,-5,0,-1,0,1,-1,-1,0,-1
-3,-23,-8,1,-2,4,5,-6,0,0,0,19,3,-5,0,-1,0,1,1,1,0,-1
1,27,3,4,-1,2,-2,2,3,-3,0,-10,-2,-4,0,-1,1,1,-1,-1,5,-1
-4,-66,-39,-6,-3,1,-6,1,1,-2,-1,0,-4,-5,0,-3,-1,-1,-1,-1,3,-1
1,55,0,7,1,1,2,3,0,0,0,10,4,-6,0,0,1,1,1,1,4,-1
-1,-33,6,-6,-8,0,2,0,0,-1,0,-6,2,-4,0,-2,-1,-1,-1,1,1,-1
-2,-5,-48,1,-1,0,6,-4,0,0,1,-192,3,-6,0,0,-1,-1,0,1,3,-1
-2,-27,0,-3,1,-3,-2,0,1,-2,0,-2,-5,-2,0,1,-1,1,1,-1,3,-1
-3,-53,7,-8,-6,-4,2,-2,2,-5,-1,0,0,-6,0,-1,1,-1,-1,-1,3,-1
0,15,5,2,3,3,-7,0,3,-3,0,-65,0,-4,0,-1,1,1,-1,1,5,-1
0,46,-12,-9,0,1,-2,-9,1,-2,0,-229,-4,-1,0,0,-1,-1,0,-1,6,-1
1,42,28,1,2,2,1,-3,-1,-1,0,-4,-3,0,0,1,1,1,1,-1,2,-1
-5,-62,-16,-5,-5,-1,0,2,-1,0,1,16,4,-10,0,-1,1,-1,-1,1,4,-1
-1,-11,12,-3,-1,1,0,-3,0,0,0,-197,6,-8,0,-1,1,0,-1,-1,4,-1
1,25,-5,7,3,0,-4,-2,10,-10,0,-21,-2,-2,0,2,1,-1,1,1,5,-1
-3,-11,0,-5,-2,1,0,-4,0,-3,0,-10,-5,-2,0,-1,1,-1,-1,1,6,-1
-6,-91,3,-12,-4,0,-2,-7,1,-3,-1,6,1,-4,0,-2,-1,-1,-1,-1,1,-1
1,44,-16,4,0,-2,0,2,4,-4,2,47,1,-7,0,2,1,1,1,1,5,-1
-6,-47,-10,-11,-6,2,1,-6,-2,-1,0,-5,-6,-3,0,-2,1,-1,-1,1,6,-1
-1,9,10,-3,-3,2,2,-3,-1,0,0,0,-1,-5,0,0,1,-1,1,1,3,-1
-1,53,-3,-6,-2,-3,-6,4,1,-1,-1,-33,-4,-3,0,0,0,-1,1,-1,0,-1
-3,-18,4,-13,3,-6,-4,-7,1,-2,0,-7,1,-3,0,-1,1,-1,-1,1,6,-1
-1,-109,16,-1,-5,2,0,1,1,-1,0,19,4,-7,0,0,1,-1,0,-1,2,-1
-2,-45,-8,-3,-2,-2,4,-2,-1,0,0,-4,1,-3,0,-1,1,-1,-1,-1,4,-1
2,-38,25,-11,1,-9,1,-2,-2,0,0,33,0,-5,0,0,-1,-1,-1,-1,2,-1
-2,-37,-4,-8,-1,-4,0,0,-3,0,0,7,4,-5,0,-3,-1,-1,-1,-1,5,-1
1,-67,32,-8,-2,-3,5,-6,-2,-1,0,0,0,0,0,0,-1,1,1,-1,2,-1
2,13,12,0,-4,-3,3,1,3,-3,0,-3,2,-4,0,-1,1,-1,-1,1,1,-1
-2,-66,-15,-3,-1,2,-4,0,0,0,-2,-2,1,-6,0,0,-1,1,0,-1,6,-1
-5,-68,-13,-9,-8,-1,-6,4,2,-3,0,133,0,-3,0,-1,1,-1,-1,-1,6,-1
3,12,4,0,2,1,3,-5,-1,0,0,0,0,-5,0,0,0,-1,-1,-1,0,-1
1,57,17,-1,-2,-1,1,0,1,-1,1,-3,2,-7,0,-2,-1,-1,-1,1,2,-1
-2,-16,4,-2,-3,2,-1,3,-3,0,0,-109,-2,-3,0,0,-1,-1,-1,-1,4,-1
-4,-33,-27,-4,-2,0,-1,-1,0,0,0,3,-3,-4,0,-1,-1,-1,-1,-1,6,-1
0,-71,-16,-3,0,0,0,-7,4,-4,0,33,5,-8,0,-1,-1,-1,-1,-1,1,-1
0,54,-17,2,1,-3,2,2,0,0,0,-2,-5,-1,0,2,1,-1,1,-1,4,-1
-1,-52,16,-2,-2,3,4,-7,0,-1,0,20,4,-5,0,1,-1,1,1,1,3,-1
-3,-46,-23,1,-3,2,-1,1,2,-2,0,-16,2,-5,0,0,0,1,0,1,0,-1
1,8,16,6,1,-2,1,4,2,-2,0,8,1,-7,0,0,1,1,0,1,5,-1
0,-14,4,2,-1,4,-1,-4,4,-4,1,-5,-3,-4,0,1,-1,1,1,1,3,-1
-3,-61,-19,-3,1,4,-6,-2,0,-1,0,-11,2,-7,0,0,1,1,-1,-1,3,-1
1,-38,20,4,3,-1,1,0,1,-3,0,-6,2,-7,0,0,1,1,1,1,3,-1
1,15,-29,7,1,0,-1,5,2,-2,0,12,3,-8,0,0,1,-1,0,-1,3,-1
-2,-24,-16,-1,-2,1,0,1,-1,-1,0,1,-2,-2,0,0,-1,-1,0,1,6,-1
0,0,-24,-1,1,0,1,-2,-1,0,0,-4,6,-11,0,-1,1,-1,1,-1,1,-1
-2,-32,4,-3,0,0,1,0,-4,0,0,-3,4,-9,0,-1,-1,-1,-1,-1,2,-1
-4,-62,-9,-10,-6,-1,-1,-1,-1,0,0,-10,-3,-4,0,-1,-1,-1,-1,-1,4,-1
-4,-106,-22,-17,-6,-6,0,-5,0,0,0,37,4,-5,0,-2,-1,-1,-1,1,6,-1
-3,-14,-16,-4,-1,5,-5,-3,0,-5,0,-6,-4,-2,0,0,-1,-1,0,-1,4,-1
-2,-35,6,-4,-2,1,-4,0,1,-2,-1,-1,-1,-5,0,-1,-1,-1,-1,-1,5,-1
-1,14,-10,-3,-3,0,-1,1,0,0,0,-231,-1,-1,0,0,1,-1,0,1,4,-1
-2,-20,16,-4,0,-2,2,-5,1,-1,0,1,0,-8,0,0,0,1,0,1,0,-1
-3,-32,-8,1,2,0,-2,2,-1,-1,0,8,2,-5,0,-2,1,1,-1,-1,6,-1
1,18,24,11,0,4,3,1,3,-4,0,-18,2,-5,0,0,-1,-1,0,1,6,-1
4,36,28,2,1,4,2,-1,-4,-1,0,-6,-2,-3,0,-1,-1,1,-1,-1,4,-1
0,-27,0,1,1,0,2,-2,0,0,0,-19,-3,-4,0,0,0,0,0,-1,0,-1
1,-2,-36,0,1,-3,1,0,1,-1,0,63,0,-3,0,0,0,0,0,1,0,-1
2,22,30,-5,-4,-2,1,2,-2,-1,0,23,-1,-6,0,0,1,1,0,1,1,-1
0,-19,15,-2,3,0,-4,-6,5,-5,-1,-2,-3,-4,0,-1,-1,-1,-1,-1,4,-1
1,32,-20,8,3,8,-2,0,-1,0,1,0,2,-5,0,1,-1,1,1,1,4,-1
3,44,-18,4,2,4,-4,2,0,0,0,3,5,-8,0,1,1,0,1,1,1,-1
-2,-48,-22,-5,-1,-1,1,-3,-1,0,0,59,-3,-1,0,-1,1,0,-1,-1,6,-1
0,-3,6,-1,-4,2,-2,0,3,-3,0,0,4,-9,0,0,-1,-1,0,1,3,-1
1,-7,20,3,2,-2,4,-4,3,-4,1,4,-4,-7,0,0,1,1,0,1,5,-1
2,76,-16,7,0,6,2,0,-1,-2,1,1,-2,-2,0,1,1,1,1,1,6,-1
-1,-15,9,-6,-3,0,1,-7,3,-4,0,-1,-8,-1,0,-1,-1,0,-1,-1,4,-1
0,48,-16,-3,0,-4,4,-2,-1,0,0,78,1,-4,0,0,1,-1,0,1,3,-1
-3,-28,-20,-8,-2,2,-1,-5,-2,-1,-3,-107,6,-9,0,-2,-1,-1,-1,-1,1,-1
-3,-57,-24,-6,-3,-2,-1,1,-1,0,-2,-41,-6,-3,0,-1,-1,-1,-1,-1,6,-1
-1,-26,-8,-1,0,-1,-3,2,1,-4,0,-1,0,-3,0,-1,-1,0,-1,-1,3,-1
