matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6741690974,420,-1,-43,-12,-1,2,1,3,0,2,2,0,1,1,-4,4,0,1,0,1,-1,1,35,1,12,11,1,0,1,-1,1,-1,-1,6,-1
KR_6745383896,420,2,-14,16,-1,-1,1,0,-2,2,0,3,0,3,-2,7,5,1,0,1,0,-6,9,-3,10,13,-3,0,-1,-1,-1,1,-1,5,-1
KR_6744402678,420,2,-75,16,-6,-2,4,2,-2,5,3,1,1,2,-3,3,0,0,0,0,-1,-3,-12,-6,6,12,-4,0,-2,-1,-1,1,-1,3,-1
KR_6742865044,420,2,22,-24,0,-2,3,1,2,3,5,-1,5,4,1,4,5,0,1,1,0,-1,-18,3,8,5,-4,0,3,-1,1,-1,1,4,-1
KR_6749510736,420,7,-100,4,-10,-4,4,0,-3,5,2,0,1,1,-3,5,2,0,0,0,0,-5,-52,-2,6,8,3,0,0,-1,1,1,-1,5,-1
KR_6742894663,420,6,-148,-18,-10,-3,3,0,2,0,2,-3,3,0,-5,6,1,-1,3,2,0,-13,-34,-2,6,8,-6,0,-1,-1,-1,1,1,4,-1
