440,KR_6786463621,-1,0,-1,0,0,0,0,0,0,2,1,1,2,1,2,0,0,1,3,1,0,0,2,1,1,1,1,0,2,2,1,0,4,0,2,2,0,0,0,2,3,8,8,6,6,6,8,7,8,6,6,55,68,4,56,15,73,2,53,63,0,0,0,42,0,0,0,61,0,0,0,2998,3939,2909,3399,2366,3045,3521,3474,3233,2696,0,2,0,0,0,0,13,13
420,KR_6679970253,-1,0,0,0,0,0,0,1,1,3,4,0,3,0,1,0,1,1,0,2,2,1,1,0,2,2,0,1,2,1,0,0,6,10,0,6,3,10,0,7,7,8,6,8,6,6,8,6,8,6,7,81,7,68,58,7,69,0,72,70,2,0,42,0,0,0,0,37,0,0,0,3419,3820,3565,3040,2065,3824,2991,2901,4048,3074,9,1,0,0,0,0,13,25
420,KR_6679151089,-1,-1,1,0,3,0,0,1,1,2,3,0,1,1,0,2,0,0,2,0,2,0,1,2,1,0,1,1,0,1,1,2,0,0,2,0,0,3,0,1,7,8,7,8,6,6,8,6,8,6,4,49,8,68,56,7,61,1,71,46,3,0,44,0,0,0,0,52,0,0,4,2720,3294,3250,3067,3164,2652,2813,3711,2674,3032,3,4,0,0,0,0,30,14
420,KR_6762844033,-1,-1,1,0,3,0,0,0,0,0,2,0,2,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,0,12,1,1,6,10,0,4,0,8,6,8,7,6,8,6,8,6,6,66,3,78,90,14,85,3,59,75,3,0,48,0,0,0,0,44,0,0,0,2894,3675,4050,3896,2507,3373,3202,3016,3279,2766,3,3,0,0,0,0,13,11
420,KR_6751909377,1,1,0,0,6,0,0,0,0,2,2,1,5,1,0,0,0,3,0,0,0,0,1,0,1,2,3,1,2,0,1,9,0,0,0,2,0,0,0,7,7,8,7,9,5,6,8,6,8,6,6,53,5,84,52,4,64,1,62,71,16,0,60,0,0,0,0,44,0,0,0,3469,4559,3524,2418,2339,2787,3731,2789,3294,2457,12,4,0,0,0,0,22,41
420,KR_6787961552,-1,0,1,0,0,1,1,2,2,1,2,2,1,0,0,2,0,1,2,3,4,2,1,1,3,3,0,0,3,0,2,0,10,15,11,0,18,12,13,22,15,7,6,8,6,5,7,7,8,7,6,68,1,68,53,5,58,1,57,80,13,0,51,0,0,0,0,60,0,0,0,3416,3286,3342,2913,3194,2845,3538,3770,5234,3762,3,2,0,0,0,0,16,18
440,KR_6786463621,-1,0,-1,0,0,0,0,0,0,2,1,1,2,1,2,0,0,1,3,1,0,0,2,1,1,1,1,0,2,2,1,0,4,0,2,2,0,0,0,2,3,8,8,6,6,6,8,7,8,6,6,55,68,4,56,15,73,2,53,63,0,0,0,42,0,0,0,61,0,0,0,2998,3939,2909,3399,2366,3045,3521,3474,3233,2696,0,2,0,0,0,0,13,13
420,KR_6679970253,-1,0,0,0,0,0,0,1,1,3,4,0,3,0,1,0,1,1,0,2,2,1,1,0,2,2,0,1,2,1,0,0,6,10,0,6,3,10,0,7,7,8,6,8,6,6,8,6,8,6,7,81,7,68,58,7,69,0,72,70,2,0,42,0,0,0,0,37,0,0,0,3419,3820,3565,3040,2065,3824,2991,2901,4048,3074,9,1,0,0,0,0,13,25
420,KR_6679151089,-1,-1,1,0,3,0,0,1,1,2,3,0,1,1,0,2,0,0,2,0,2,0,1,2,1,0,1,1,0,1,1,2,0,0,2,0,0,3,0,1,7,8,7,8,6,6,8,6,8,6,4,49,8,68,56,7,61,1,71,46,3,0,44,0,0,0,0,52,0,0,4,2720,3294,3250,3067,3164,2652,2813,3711,2674,3032,3,4,0,0,0,0,30,14
420,KR_6762844033,-1,-1,1,0,3,0,0,0,0,0,2,0,2,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,0,12,1,1,6,10,0,4,0,8,6,8,7,6,8,6,8,6,6,66,3,78,90,14,85,3,59,75,3,0,48,0,0,0,0,44,0,0,0,2894,3675,4050,3896,2507,3373,3202,3016,3279,2766,3,3,0,0,0,0,13,11
420,KR_6787527808,-1,-1,0,0,1,1,1,1,1,3,2,2,2,1,0,4,2,3,3,2,1,2,1,2,2,4,2,2,2,1,2,6,6,6,19,3,2,7,2,8,26,8,6,8,6,6,9,6,7,6,6,79,4,84,75,12,71,6,35,61,15,0,56,1,0,0,0,42,0,0,0,3962,3674,3769,4059,3376,3763,4073,3150,3842,3085,2,3,0,0,0,0,22,12
420,KR_6789206310,1,1,0,0,3,0,0,0,0,4,0,3,2,3,2,2,0,1,0,1,0,0,0,0,1,1,3,3,3,1,2,4,10,3,2,10,0,0,0,4,7,9,7,8,6,6,8,6,8,6,6,63,3,51,68,13,72,10,75,64,21,0,56,0,0,0,0,43,0,0,0,4062,4079,3577,3621,2878,3201,3021,2983,3495,2443,1,1,0,0,0,0,13,15
420,KR_6751831033,1,1,-1,0,1,0,0,0,0,5,2,0,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,2,2,1,0,4,6,7,5,6,6,0,0,6,8,6,8,7,6,8,6,8,6,6,47,1,76,87,16,82,1,66,60,10,0,56,0,0,0,0,48,4,0,0,2458,3774,3936,3713,2245,3304,3210,2967,3055,1959,2,2,0,0,0,0,42,13
420,KR_6784006025,1,0,0,0,0,2,2,0,0,2,4,2,3,2,3,0,0,0,1,2,0,0,1,1,1,0,1,1,3,3,2,0,10,0,11,16,0,0,0,5,0,8,7,8,6,6,8,6,8,6,5,54,9,67,72,8,49,3,64,53,1,0,48,0,0,0,0,52,0,0,0,3345,4204,3387,4116,2999,2536,2808,3124,3546,1997,2,1,0,0,0,0,14,15
